"cell_type","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"astrocytes_Alzheimer","LINC00486",1.45153506551285e-25,-0.394607830379156,0.345,0.587,3.97619000495934e-21
"astrocytes_Alzheimer","HPSE2",1.48738589355127e-25,-0.419844466830974,0.498,0.773,4.074396178205e-21
"astrocytes_Alzheimer","FBXL7",1.77364982340274e-25,-0.456040415917877,0.963,0.981,4.85855896124712e-21
"astrocytes_Alzheimer","PDZRN4",2.40902234464943e-25,0.668753071187567,0.246,0.092,6.59903490869818e-21
"astrocytes_Alzheimer","TTYH3",2.59311577389859e-25,-0.605098001802023,0.267,0.471,7.10332203944042e-21
"astrocytes_Alzheimer","SCML1",3.02251087642449e-25,-0.517874076007593,0.265,0.475,8.27956404378961e-21
"astrocytes_Alzheimer","VCAN",3.2543002451595e-25,0.610016519650843,0.448,0.249,8.91450466156542e-21
"astrocytes_Alzheimer","CCND3",3.94266437739989e-25,0.586441254042414,0.471,0.278,1.08001405290115e-20
"astrocytes_Alzheimer","CACNB2",4.20872759653941e-25,-0.428350486518581,0.913,0.963,1.15289675052004e-20
"astrocytes_Alzheimer","LDLR",4.86632390737378e-25,-0.480593559976203,0.062,0.245,1.3330321079469e-20
"astrocytes_Alzheimer","LUC7L3",5.02990114377249e-25,0.511228305862396,0.798,0.753,1.3778408203136e-20
"astrocytes_Alzheimer","PKNOX2",7.95372754382125e-25,-0.787882537262897,0.259,0.454,2.17876458607895e-20
"astrocytes_Alzheimer","RAB34",1.03946792848949e-24,-0.492559619575625,0.244,0.46,2.84741449651127e-20
"astrocytes_Alzheimer","AC245297.3",1.21182038089762e-24,0.626980758134924,0.825,0.778,3.31953956939286e-20
"astrocytes_Alzheimer","ANAPC16",1.44018253640655e-24,0.470734446888905,0.482,0.279,3.94509202197845e-20
"astrocytes_Alzheimer","CCL2",1.51125412921789e-24,-0.472643877767646,0.019,0.175,4.13977843616657e-20
"astrocytes_Alzheimer","CLU",1.55721082163428e-24,-0.475187330797041,0.934,0.974,4.26566760370278e-20
"astrocytes_Alzheimer","GPC5",2.78439032260626e-24,-0.266070682726014,0.993,0.995,7.62728041071532e-20
"astrocytes_Alzheimer","SRPX2",3.50860180584049e-24,-0.545528024024553,0.081,0.257,9.61111292673885e-20
"astrocytes_Alzheimer","RNF219-AS1",4.14588592655173e-24,-0.410277132230975,0.887,0.974,1.13568253186032e-19
